data_date,org_code,elec_type,data_value,trade_code
2020-05-01,32407,2,63065310,U
2020-05-01,32408,2,53039732,U
2020-05-01,32409,2,100699268,U
2020-05-01,32410,2,66281562,U
2020-05-01,32411,2,12469489,U
2020-05-01,32412,2,39610778,U
2020-05-01,32413,2,53069218,U
2020-06-01,32401,2,36833539,U
2020-06-01,32402,2,26693053,U
2020-06-01,32403,2,75766457,U
2020-06-01,32404,2,34777577,U
2020-06-01,32405,2,40092603,U
2020-06-01,32406,2,83398516,U
2020-06-01,32407,2,85032344,U
2020-06-01,32408,2,72442612,U
2020-06-01,32409,2,137034390,U
2020-06-01,32410,2,82062365,U
